NOME_MUN,REGIAO,N_MICRO,PIB
ANHANGUERA,CENTRO-OESTE,CATALAO,10036
JESUPOLIS,CENTRO-OESTE,ANAPOLIS,15896
TERESINA DE GOIAS,CENTRO-OESTE,CHAPADA DOS VEADEIROS,16111
PALMELO,CENTRO-OESTE,PIRES DO RIO,16849
BURITINOPOLIS,CENTRO-OESTE,VAO DO PARANA,17142
CACHOEIRA DE GOIAS,CENTRO-OESTE,IPORA,18477
ALOANDIA,CENTRO-OESTE,MEIA PONTE,18580
DAMIANOPOLIS,CENTRO-OESTE,VAO DO PARANA,18879
SAO PATRICIO,CENTRO-OESTE,CERES,19565
NOVA AMERICA,CENTRO-OESTE,CERES,20345
GUARAITA,CENTRO-OESTE,CERES,20367
MORRO AGUDO DE GOIAS,CENTRO-OESTE,CERES,20462
MOIPORA,CENTRO-OESTE,IPORA,20759
GUARINOS,CENTRO-OESTE,CERES,20957
NOVA AURORA,CENTRO-OESTE,CATALAO,23116
ADELANDIA,CENTRO-OESTE,ANICUNS,23657
NOVA IGUACU DE GOIAS,CENTRO-OESTE,PORANGATU,23906
SITIO D'ABADIA,CENTRO-OESTE,VAO DO PARANA,24158
MARZAGAO,CENTRO-OESTE,MEIA PONTE,24410
DAMOLANDIA,CENTRO-OESTE,ANAPOLIS,24574
SAO JOAO DA PARAUNA,CENTRO-OESTE,VALE DO RIO DOS BOIS,24759
COLINAS DO SUL,CENTRO-OESTE,CHAPADA DOS VEADEIROS,24794
TROMBAS,CENTRO-OESTE,PORANGATU,25050
ISRAELANDIA,CENTRO-OESTE,IPORA,25363
SANTA ROSA DE GOIAS,CENTRO-OESTE,ANAPOLIS,25505
BURITI DE GOIAS,CENTRO-OESTE,ANICUNS,25525
TRES RANCHOS,CENTRO-OESTE,CATALAO,26324
JAUPACI,CENTRO-OESTE,IPORA,26360
AGUA LIMPA,CENTRO-OESTE,MEIA PONTE,27161
PILAR DE GOIAS,CENTRO-OESTE,CERES,27385
PROFESSOR JAMIL,CENTRO-OESTE,MEIA PONTE,27996
DIORAMA,CENTRO-OESTE,ARAGARCAS,28153
DAVINOPOLIS,CENTRO-OESTE,CATALAO,28842
MIMOSO DE GOIAS,CENTRO-OESTE,ENTORNO DE BRASILIA,28981
ESTRELA DO NORTE,CENTRO-OESTE,PORANGATU,29091
UIRAPURU,CENTRO-OESTE,SAO MIGUEL DO ARAGUAIA,29812
BALIZA,CENTRO-OESTE,ARAGARCAS,30264
MAIRIPOTABA,CENTRO-OESTE,MEIA PONTE,30856
CAMPINACU,CENTRO-OESTE,PORANGATU,31282
